Element,Mass Number,Charge Number
Hydrogen,1,1
Deuterium,2,1
Helium,3,2
Helium,4,2
Lithium,6,3
Lithium,7,3
Beryllium,9,4
Boron,10,5
Boron,11,5
Carbon,12,6
Carbon,13,6
Nitrogen,14,7
Nitrogen,15,7
Oxygen,16,8
Oxygen,17,8
Oxygen,18,8
Fluorine,19,9
Neon,20,10
Neon,22,10
Magnesium,24,12
Magnesium,25,12
Magnesium,26,12
Aluminum,27,13
Silicon,28,14
Silicon,29,14
Silicon,30,14
Phosphorus,31,15
Sulfur,32,16
Sulfur,33,16
Sulfur,34,16
Chlorine,35,17
Chlorine,37,17
Argon,36,18
Argon,38,18
Argon,40,18
Potassium,39,19
Potassium,41,19
Calcium,40,20
Calcium,42,20
Calcium,44,20
Scandium,45,21
Titanium,46,22
Titanium,47,22
Titanium,48,22
Vanadium,51,23
Chromium,50,24
Chromium,52,24
Chromium,53,24
Chromium,54,24
Manganese,55,25
Iron,54,26
Iron,56,26
Iron,57,26
Iron,58,26
Cobalt,59,27
Nickel,58,28
Nickel,60,28
Nickel,61,28
Nickel,62,28
Copper,63,29
Copper,65,29
Zinc,64,30
Zinc,66,30
Zinc,67,30
Zinc,68,30
Gallium,69,31
Gallium,71,31
Germanium,72,32
Germanium,73,32
Germanium,74,32
Arsenic,75,33
Selenium,74,34
Selenium,76,34
Selenium,77,34
Selenium,78,34
Selenium,80,34
Bromine,79,35
Bromine,81,35
Krypton,80,36
Krypton,82,36
Krypton,83,36
Krypton,84,36
Krypton,86,36
Rubidium,85,37
Rubidium,87,37
Strontium,86,38
Strontium,87,38
Strontium,88,38
Yttrium,89,39
Zirconium,90,40
Zirconium,91,40
Zirconium,92,40
Zirconium,94,40
Niobium,93,41
Molybdenum,92,42
Molybdenum,94,42
Molybdenum,95,42
Molybdenum,96,42
Molybdenum,98,42
Technetium,97,43
Ruthenium,96,44
Ruthenium,98,44
Ruthenium,99,44
Ruthenium,100,44
Ruthenium,101,44
Ruthenium,102,44
Ruthenium,104,44
Rhodium,103,45
Palladium,102,46
Palladium,104,46
Palladium,105,46
Palladium,106,46
Palladium,108,46
Silver,107,47
Silver,109,47
Silver,107,47
Silver,109,47
Cadmium,106,48
Cadmium,108,48
Cadmium,110,48
Cadmium,111,48
Cadmium,112,48
Cadmium,113,48
Cadmium,114,48
Cadmium,116,48
Tin,116,50
Tin,117,50
Tin,118,50
Tin,119,50
Tin,120,50
Tin,121,50
Tin,122,50
Tin,124,50
Antimony,121,51
Antimony,123,51
Tellurium,122,52
Tellurium,123,52
Tellurium,124,52
Tellurium,125,52
Tellurium,126,52
Tellurium,128,52
Iodine,127,53
Iodine,129,53
Xenon,124,54
Xenon,126,54
Xenon,128,54
Xenon,129,54
Xenon,130,54
Xenon,131,54
Xenon,132,54
Xenon,134,54
Cesium,133,55
Cesium,135,55
Barium,130,56
Barium,132,56
Barium,134,56
Barium,135,56
Barium,136,56
Barium,137,56
Barium,138,56
Lanthanum,138,57
Lanthanum,139,57
Cerium,138,58
Cerium,140,58
Praseodymium,141,59
Neodymium,142,60
Neodymium,143,60
Neodymium,144,60
Neodymium,145,60
Neodymium,146,60
Neodymium,148,60
Samarium,144,62
Samarium,147,62
Samarium,148,62
Samarium,149,62
Samarium,150,62
Samarium,152,62
Europium,151,63
Europium,153,63
Gadolinium,152,64
Gadolinium,154,64
Gadolinium,155,64
Gadolinium,156,64
Gadolinium,157,64
Gadolinium,158,64
Terbium,159,65
Dysprosium,160,66
Dysprosium,161,66
Dysprosium,162,66
Dysprosium,163,66
Dysprosium,164,66
Holmium,165,67
Erbium,166,68
Erbium,167,68
Erbium,168,68
Erbium,170,68
Thulium,169,69
Ytterbium,170,70
Ytterbium,171,70
Ytterbium,172,70
Ytterbium,173,70
Ytterbium,174,70
Ytterbium,176,70
Lutetium,175,71
Hafnium,174,72
Hafnium,176,72
Hafnium,177,72
Hafnium,178,72
Hafnium,179,72
Hafnium,180,72
Tantalum,180,73
Tantalum,181,73
Tungsten,182,7
Tungsten,182,74
Tungsten,183,74
Tungsten,184,74
Tungsten,186,74
Rhenium,185,75
Rhenium,187,75
Osmium,186,76
Osmium,187,76
Osmium,188,76
Osmium,189,76
Osmium,190,76
Osmium,192,76
Iridium,191,77
Iridium,193,77
Platinum,192,78
Platinum,194,78
Platinum,195,78
Platinum,196,78
Platinum,198,78
Gold,197,79
Mercury,196,80
Mercury,198,80
Mercury,200,80
Mercury,201,80
Mercury,202,80
Mercury,204,80
Thallium,203,81
Thallium,205,81
Lead,204,82
Lead,206,82
Lead,207,82
Lead,208,82